Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
436,,49,436,Unayzah,"Lenovo NeXtScale nx360M5/x3550 M5, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Saudi Aramco,Lenovo,Saudi Arabia,2017,Industry,41832,,485,1606,2558976,,,1345,Derived,0,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,10G,10G Ethernet,Western Asia,Asia
437,334,42,64,Amazon EC2 C3 Instance cluster,"Amazon EC2 Cluster, Intel Xeon E5-2680v2  10C 2.800GHz, 10G Ethernet",Amazon Web Services,Self-made,United States,2013,Industry,26496,,484,594,3373325,,,609,Derived,1,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Amazon EC2 Cluster,NOW - Intel,10G,10G Ethernet,North America,Americas
438,335,46,180,,"Cluster Platform DL380 Cluster, Xeon E5-2630v3 8C 2.4GHz, 10G Ethernet",Hosting Company,HPE,United States,2015,Industry,20720,,484,796,,,,1036,Derived,0,Cluster,Xeon E5-2630v3 8C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,8,Intel Xeon E5 (Haswell),HP DL380 Cluster,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
439,336,48,336,,"Cluster Platform DL360, Xeon E5-2697Av4  16C 2.6GHz, 10G Ethernet",IT Services Provider ,HPE,United States,2016,Industry,17920,,482,745,,,,448,Derived,1,Cluster,Xeon E5-2697Av4  16C 2.6GHz,Intel Broadwell,2600,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
440,,49,440,Vestas1,"Lenovo NeXtScale nx360M5,  Xeon E5-2680V3/Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",Vestas Wind Systems A/S,Lenovo,Denmark,2016,Industry,16848,,482,523,2123328,,,542,Derived,1,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Northern Europe,Europe
441,346,48,346,Meggie,"MEGWARE MiriQuid, Xeon E5-2630v4 10C 2.2GHz, Intel Omni-Path",Universitaet Erlangen - Regionales Rechenzentrum Erlangen,MEGWARE,Germany,2016,Academic,14520,,481,511,2334816,,12,210,Submitted,2,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),MEGWARE MiriQuid,MEGWARE Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe
442,337,48,337,,"CH121 V3 Cluster, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Government (I),Huawei,China,2016,Classified,15360,,481,639,2560000,,,240,Submitted,2,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,12,Intel Xeon E5 (Haswell),CH121 V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
443,338,43,77,,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2680v2  10C 2.8GHz, 10G Ethernet",IT Service Provider,HPE,United States,2014,Industry,33280,,478,745,,,,2496,Derived,0,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,None,10,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
444,340,47,243,,"Cluster Platform DL380, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,19008,,477,730,,,,634,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
445,339,47,244,,"Cluster Platform DL380, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,19008,,477,730,,,,634,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
446,341,44,103,Shepard,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect , Xeon Phi 5120D/Nvidia K40",Navy DSRC,Cray Inc.,United States,2014,Government,41196,10444,477,821,1707720,,,1153,Derived,0,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,Xeon Phi 5120D/Nvidia K40,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
447,342,45,139,Mesabi,"HP Apollo 6000 Xl230/250 , Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",University of Minnesota/Supercomputing Institute,HPE,United States,2015,Academic,15360,,474,614,1872000,,,339,Derived,1,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP Apollo 6000 Xl230/250 ,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
448,343,46,184,,"Sugon TC6000, Opteron 6344 12C 2.6GHz, Gigabit Ethernet",Electricity Company,Sugon,China,2015,Industry,252000,,474,2621,3678000,,,870,Submitted,1,Cluster,Opteron 6344 12C 2.6GHz,AMD x86_64,2600,Linux,Linux,None,12,"Opteron 6300 Series ""Abu Dhabi""",Sugon TC6000,Sugon Cluster,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
449,344,46,185,,"Inspur TS10000 HPC Server, Xeon E5-2650v3 10C 2GHz, 10G Ethernet",Internet Service (B),Inspur,China,2015,Industry,30000,,474,960,4381780,,,316,Submitted,1,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,CentOS,Linux,None,10,Intel Xeon E5 (Haswell),Inspur TS10000 HPC Server,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia
450,345,46,186,,"Cluster Platform DL380, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Web Company (F),HPE,United States,2015,Industry,13920,,472,557,,,,464,Derived,1,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
451,348,46,188,,"Sugon TC6000, Intel Xeon E5-2630v2 6C 2.6GHz, 10G Ethernet",Government,Sugon,China,2015,Government,36000,,469,749,2780000,,,540,Submitted,1,Cluster,Intel Xeon E5-2630v2 6C 2.6GHz,Intel IvyBridge,2600,Linux,Linux,None,6,Intel Xeon E5 (IvyBridge),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
452,349,47,254,,"Lenovo RD650, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Service Provider  (S),Lenovo,China,2015,Industry,30000,,469,1152,3999936,,,1875,Derived,0,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,6,Intel Xeon E5 (Haswell),Lenovo RD650,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
453,350,46,190,,"Sugon TC6000, Intel Xeon E5-2620v2 6C 2.1GHz, Gigabit Ethernet",Telecommunications Company,Sugon,China,2015,Industry,153000,,468,2570,2866000,,,1750,Submitted,0,Cluster,Intel Xeon E5-2620v2 6C 2.1GHz,Intel IvyBridge,2100,CentOS,Linux,None,6,Intel Xeon E5 (IvyBridge),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
454,351,47,455,iREMB,"Cluster Platform DL380, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet, NVIDIA Tesla K40",DGIST Supercomputing & Big Data Center,HPE,"Korea, South",2016,Academic,14400,8640,467,983,1430160,,,576,Derived,1,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia
455,352,46,192,,"Inspur TS10000 HPC Server, Xeon E5-2698v3 16C 2.3GHz, 10G Ethernet",Internet Company,Inspur,China,2015,Industry,28800,,466,1060,3394112,,,244,Submitted,2,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,CentOS,Linux,None,16,Intel Xeon E5 (Haswell),Inspur TS10000 HPC Server,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia
456,353,48,353,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,20472,,465,786,,,,682,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
457,354,43,185,Shadow,"Cray CS300-LC, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P",Mississippi State University,Cray Inc.,United States,2014,Academic,33600,28800,463,593,1240000,,,193,Submitted,2,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,Intel Xeon Phi 5110P,10,Intel Xeon E5 (IvyBridge),Cray CS300-LC,Cray CS300,Infiniband,Infiniband FDR,North America,Americas
458,355,45,243,Abacus 2.0,"Lenovo NeXtScale nx360M5, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, NVIDIA Tesla K40",University of Southern Denmark,Lenovo,Denmark,2015,Academic,17928,2160,462,837,1797120,,,187,Submitted,2,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (Haswell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Northern Europe,Europe
459,356,40,44,,"Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090",Geoscience (P),HPE,United States,2012,Industry,40320,23040,462,1141,,,,4032,Derived,0,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
460,357,46,196,,"Cluster Platform DL380 Cluster, Xeon E5-2680v3 12C 2.5GHz, Gigabit Ethernet",Hosting Company,HPE,United States,2015,Industry,23232,,461,929,,,,774,Derived,1,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP DL380 Cluster,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
461,,49,461,,"HC2000 Cluster, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet, NVIDIA Tesla K80",Government,Sugon,China,2016,Government,15500,13000,461,1027,1294000,,,280,Submitted,2,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,CentOS,Linux,NVIDIA Tesla K80,10,Intel Xeon E5 (Haswell),HC2000 Cluster,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
462,358,46,197,,"Lenovo ThinkServer RD650, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Service Provider T,Lenovo,China,2015,Industry,54000,,461,2074,5692000,,,3375,Derived,0,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,6,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
463,359,46,198,,"Lenovo ThinkServer RD650, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Service Provider T,Lenovo,China,2015,Industry,54000,,461,2074,5692000,,,3375,Derived,0,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,6,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
464,360,47,263,,"Cluster Platform DL380, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,18360,,461,705,,,,612,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
465,,49,465,kukai,"ZettaScaler-1.6 GPGPU system, Xeon E5-2650Lv4 14C 1.7GHz, Infiniband FDR, NVIDIA Tesla P100",Yahoo Japan Corporation,ExaScalar,Japan,2017,Industry,10080,8960,461,792,610816,,,33,Submitted,14,Cluster,Xeon E5-2650Lv4 14C 1.7GHz,Intel Broadwell,1700,CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),ZettaScaler-1.6 GPGPU system,ZettaScaler,Infiniband,Infiniband FDR,Eastern Asia,Asia
466,,49,466,Hōkūle’a,"IBM Power Systems S822LC, IBM Power8+ 10C 2.86GHz, Infiniband EDR, NVIDIA Tesla GP100",Maui High-Performance Computing Center (MHPCC),IBM,United States,2016,Research,4736,4096,460,695,703660,351830,,69,Submitted,7,Cluster,IBM Power8+ 10C 2.86GHz,Power,2860,Redhat Linux,Linux,NVIDIA Tesla GP100,10,IBM Power8+,IBM Power Systems S822LC, IBM Power Systems,Infiniband,Infiniband EDR,North America,Americas
467,361,48,361,Reedbush-U,"Rackable C2112-4GP3 Cluster, Xeon E5-2695v4 18C 2.1GHz, Infiniband EDR","Information Technology Center, The University of Tokyo",HPE,Japan,2016,Academic,15120,,460,508,1693440,,,199,Submitted,2,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Redhat Enterprise Linux 7.2,Linux,None,18,Intel Xeon E5 (Broadwell),Rackable C2112-4GP3 Cluster,Rackable Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia
468,,49,468,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Cloud Provider,HPE,Australia,2017,Industry,20160,,458,774,,,,672,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,Australia and New Zealand,Oceania
469,362,40,48,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Energy Company (D),HPE,United States,2012,Industry,32256,,458,671,,,,2419,Derived,0,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
470,363,48,363,CARL,"Lenovo NeXtScale nx360M5, Xeon E5-2650v4 12C 2.2GHz, Infiniband FDR",Carl von Ossietzky University of Oldenburg,Lenovo,Germany,2016,Academic,12960,,457,601,1866240,,,486,Derived,1,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,12,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Western Europe,Europe
471,364,45,146,Santos Dumont GPU,"Bullx B710, Intel Xeon E5-2695v2 12C 2.4GHz, Infiniband FDR, Nvidia K40",Laboratório Nacional de Computação Científica,Bull,Brazil,2015,Academic,10692,5940,457,658,1160192,,,371,Derived,1,Cluster,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,bullx SCS,Linux,NVIDIA Tesla K40,12,Intel Xeon E5 (IvyBridge),Bullx B710,Bull Bullx,Infiniband,Infiniband FDR,South America,Americas
472,365,46,202,,"Sugon TC6000, Intel Xeon E5-2620v2 6C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2015,Industry,43200,,457,726,2638000,,,670,Submitted,1,Cluster,Intel Xeon E5-2620v2 6C 2.1GHz,Intel IvyBridge,2100,CentOS,Linux,None,6,Intel Xeon E5 (IvyBridge),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
473,366,46,201,,"Sugon TC6000, Intel Xeon E5-2620v2 6C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2015,Industry,43200,,457,726,2638000,,,670,Submitted,1,Cluster,Intel Xeon E5-2620v2 6C 2.1GHz,Intel IvyBridge,2100,CentOS,Linux,None,6,Intel Xeon E5 (IvyBridge),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
474,367,48,367,,"FusionServer XH620 V3 Cluster, Xeon E5-2650v4 12C 2.2GHz, Infiniband QDR",Manufacturing Company B,Huawei,Germany,2016,Industry,17280,,456,608,3000000,,,205,Submitted,2,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,12,Intel Xeon E5 (Broadwell),FusionServer XH620 V3 Cluster,Huawei Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
475,368,47,268,,"Inspur TS10000, Xeon E5-2620v3 6C 2.4GHz, 40G Ethernet, NVIDIA Tesla K40",Internet Service (B),Inspur,China,2016,Industry,7992,6660,455,686,873000,,,128,Submitted,4,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,NVIDIA Tesla K40,6,Intel Xeon E5 (Haswell),Inspur TS10000,Inspur Cluster,Gigabit Ethernet,40G Ethernet,Eastern Asia,Asia
476,369,46,203,,"Sugon TC6000, Intel Xeon E5-2609V2 4C 2.5GHz, Gigabit Ethernet",Internet Company B,Sugon,China,2015,Industry,120000,,455,2400,2538000,,,1500,Submitted,0,Cluster,Intel Xeon E5-2609V2 4C 2.5GHz,Intel IvyBridge,2500,CentOS,Linux,None,4,Intel Xeon E5 (IvyBridge),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
477,370,46,204,,"Sugon TC6000, Intel Xeon E5-2609V2 4C 2.5GHz, Gigabit Ethernet",Internet Company W,Sugon,China,2015,Industry,120000,,455,2400,2538000,,,1500,Submitted,0,Cluster,Intel Xeon E5-2609V2 4C 2.5GHz,Intel IvyBridge,2500,CentOS,Linux,None,4,Intel Xeon E5 (IvyBridge),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
478,371,42,69,HPCC1,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14",Exploration & Production - Eni S.p.A.,IBM,Italy,2013,Industry,24000,,454,499,,,,499,Submitted,1,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR14,Southern Europe,Europe
479,373,47,272,DPCluster,"Sugon TC6000, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",IT Service Provider (L),Sugon,China,2016,Industry,24000,,451,922,2670000,,,600,Submitted,1,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,None,6,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
480,,49,480,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Cloud Provider,HPE,Brazil,2017,Industry,17136,,450,658,,,,571,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,South America,Americas
481,374,48,374,,"FusionServer XH620 V3 Cluster, Xeon E5-2667v4 8C 3.2GHz, 10G Ethernet",Semiconductor Company,Huawei,China,2016,Industry,13440,,450,688,3200000,,,315,Submitted,1,Cluster,Xeon E5-2667v4 8C 3.2GHz,Intel Broadwell,3200,Linux,Linux,None,8,Intel Xeon E5 (Broadwell),FusionServer XH620 V3 Cluster,Huawei Cluster,10G,10G Ethernet,Eastern Asia,Asia
482,,49,482,QPACE 3,"PRIMERGY CX1640 M1, Intel Xeon Phi 7210 64C 1.3GHz, Intel Omni-Path",Collaborative Research Center SFB/TRR55,Fujitsu,Germany,2016,Research,18432,,449,767,1500528,,,77,Submitted,6,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,Linux,Linux,None,64,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe
483,376,45,148,,"Apollo 6000 XL2x0a, Xeon E5-2680v3 12C 2.5GHz, Infiniband QDR",IT Provider (P),HPE,United States,2015,Industry,14448,,446,578,,,,798,Derived,1,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Apollo 6000 XL2x0a,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
484,377,47,274,,"Lenovo x3650, Xeon E5-2660v3 10C 2.6GHz, 10G Ethernet",Financial Institution (B),Lenovo,China,2016,Industry,17840,,445,742,2389248,,,669,Derived,1,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo x3650,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
485,378,48,378,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,16128,,445,619,,,,538,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
486,379,47,275,,"Lenovo x3650, Xeon E5-2650v3 10C 2GHz, 10G Ethernet",China Telecom,Lenovo,China,2016,Industry,21120,,443,676,2599680,,,792,Derived,1,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo x3650,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
487,380,46,207,,"Sugon TC6000, Xeon E7-4830V2 10C 2.2GHz, 10G Ethernet",Electricity Company,Sugon,China,2015,Industry,40320,,443,710,2548000,,,300,Submitted,1,Cluster,Xeon E7-4830V2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,None,10,Intel Xeon E7 (IvyBridge),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
488,381,41,60,Makman,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Saudi Aramco,IBM/Lenovo,Saudi Arabia,2013,Industry,24336,,442,506,3232768,600000,,506,Submitted,1,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband QDR,Western Asia,Asia
489,382,48,382,,"RH1288 V3 Cluster, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Interdisciplinary Centre for Mathematical and Computational Modelling,Huawei,Poland,2016,Academic,14540,,439,591,2700000,,,395,Submitted,1,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),RH1288 V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
490,,49,490,Kebnekaise,"Lenovo NeXtScale nx360M5, Xeon E5-2690v4 14C 2.6GHz/Xeon Phi 7250, Infiniband FDR, Tesla K80",HPC2N - Umea University,Lenovo,Sweden,2015,Academic,17632,2080,439,750,1866240,,,567,Derived,1,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,Linux,Linux,NVIDIA Tesla K80,14,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Northern Europe,Europe
491,383,47,278,,"Lenovo RD450, Xeon E5-2680v3 12C 2.5GHz, 10G Ethernet",Internet Company A,Lenovo,China,2016,Industry,18240,,438,730,2205504,,,570,Derived,1,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
492,385,47,280,,"Lenovo RD450, Xeon E5-2630v3 8C 2.4GHz, 10G Ethernet",Internet Service (S),Lenovo,China,2016,Industry,20592,,435,791,2870016,,,965,Derived,0,Cluster,Xeon E5-2630v3 8C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,8,Intel Xeon E5 (Haswell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
493,387,43,85,,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR",China Meteorological Administration,IBM,China,2014,Research,17920,,435,509,2400000,,,544,Submitted,1,Cluster,POWER7  8C 3.55GHz,Power,3550,AIX,Unix,None,8,POWER7,IBM Flex System p460,IBM Flex System,Infiniband,Infiniband QDR,Eastern Asia,Asia
494,386,43,86,,"IBM Flex System p460, POWER7  8C 3.550GHz, Infiniband QDR",China Meteorological Administration,IBM,China,2014,Research,17920,,435,509,2400000,,,544,Submitted,1,Cluster,POWER7  8C 3.55GHz,Power,3550,AIX,Unix,None,8,POWER7,IBM Flex System p460,IBM Flex System,Infiniband,Infiniband QDR,Eastern Asia,Asia
495,389,47,284,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,16512,,434,634,,,,550,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
496,388,47,283,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, 10G Ethernet",Software Company (M),HPE,United States,2016,Industry,16512,,434,634,,,,550,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
497,390,35,10,Red Sky,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband",Sandia National Laboratories / National Renewable Energy Laboratory,Oracle,United States,2010,Research,42440,,434,497,2504421,,,4344,Derived,0,Cluster,Xeon X5570 4C 2.93GHz,Intel Nehalem,2930,CentOS,Linux,None,4,Xeon 5500-series (Nehalem-EP),Sun Blade x6275,Sun Blade System,Infiniband,Infiniband,North America,Americas
